** Analysing toSortedArray() speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,3
small-town.txt,44892,1000,7
town.txt,451617,10000,27
large-town.txt,2255053,50000,257
city.txt,4511688,100000,294
large-city.txt,22554540,500000,2135
metropolis.txt,45107513,1000000,3943
capital.txt,90209834,2000000,9963
Hashtable:
village.txt,4561,100,0
small-town.txt,44892,1000,0
town.txt,451617,10000,25
large-town.txt,2255053,50000,148
city.txt,4511688,100000,342
large-city.txt,22554540,500000,1980
metropolis.txt,45107513,1000000,4084
capital.txt,90209834,2000000,7918
